,country_of_citizenship,country_being_visited,visa_requirements 
1581,turkmenistan,maldives,visa on arrival
1582,turkmenistan,liberia,visa required
1583,turkmenistan,saint kitts and nevis,visa required
1584,turkmenistan,jordan,visa on arrival
1585,turkmenistan,bahrain,visa required
1586,turkmenistan,dominica,visa not required
1587,turkmenistan,liechtenstein,visa required
1588,turkmenistan,haiti,visa not required
1589,turkmenistan,new zealand,visa required
1590,turkmenistan,latvia,visa required
1591,turkmenistan,djibouti,evisa
1592,turkmenistan,grenada,visa on arrival
1593,turkmenistan,democratic republic of the congo,visa required
1594,turkmenistan,singapore,evisa
1595,turkmenistan,nicaragua,visa on arrival
1596,turkmenistan,burkina faso,visa required
1597,turkmenistan,eswatini,visa required
1598,turkmenistan,zambia,evisa
1599,turkmenistan,samoa,entry permit on arrival
1600,turkmenistan,uruguay,visa required
1601,turkmenistan,montenegro,visa required
1602,turkmenistan,equatorial guinea,visa required
1603,turkmenistan,bosnia and herzegovina,visa required
1604,turkmenistan,ghana,visa required
1605,turkmenistan,moldova,visa required
1606,turkmenistan,dominican republic,visa required
1607,turkmenistan,guinea-bissau,visa on arrival
1608,turkmenistan,paraguay,visa required
1609,turkmenistan,switzerland,visa required
1610,turkmenistan,honduras,visa required
1611,turkmenistan,libya,visa required
1612,turkmenistan,myanmar,visa required
1613,turkmenistan,belgium,visa required
1614,turkmenistan,kiribati,visa required
1615,turkmenistan,antigua and barbuda,visa not required
1616,turkmenistan,japan,visa required
1617,turkmenistan,bulgaria,visa required
1618,turkmenistan,bolivia,visa on arrival
1619,turkmenistan,thailand,visa required
1620,turkmenistan,cyprus,visa required
1621,turkmenistan,micronesia,visa not required
1622,turkmenistan,sierra leone,visa required
1623,turkmenistan,mauritania,visa on arrival
1624,turkmenistan,comoros,visa on arrival
1625,turkmenistan,burundi,visa required
1626,turkmenistan,indonesia,visa not required
1627,turkmenistan,brazil,visa required
1628,turkmenistan,qatar,evisa
1629,turkmenistan,sudan,visa required
1630,turkmenistan,kazakhstan,visa required
1631,turkmenistan,lebanon,visa on arrival
1632,turkmenistan,spain,visa required
1633,turkmenistan,suriname,evisa
1634,turkmenistan,senegal,visa required
1635,turkmenistan,namibia,visa not required
1636,turkmenistan,san marino,visa required
1637,turkmenistan,ireland,visa required
1638,turkmenistan,seychelles,visitor's permit on arrival
1639,turkmenistan,ethiopia,evisa
1640,turkmenistan,madagascar,evisa / visa on arrival
1641,turkmenistan,pakistan,online visa
1642,turkmenistan,turkey,visa not required
1643,turkmenistan,romania,visa required
1644,azerbaijan,laos,evisa / visa on arrival
1645,azerbaijan,albania,visa not required
1646,azerbaijan,chad,visa required
1647,azerbaijan,benin,evisa / visa on arrival
1648,azerbaijan,iceland,visa required
1649,azerbaijan,vanuatu,visa not required
1650,azerbaijan,panama,visa required
1651,azerbaijan,israel,visa required
1652,azerbaijan,morocco,visa required
1653,azerbaijan,united states,visa required
1654,azerbaijan,timor-leste,visa on arrival
1655,azerbaijan,costa rica,visa required
1656,azerbaijan,italy,visa required
1657,azerbaijan,saint vincent and the grenadines,visa not required
1658,azerbaijan,nigeria,visa required
1659,azerbaijan,el salvador,visa required
1660,azerbaijan,armenia,special permit required
1661,azerbaijan,ecuador,visa not required
1662,azerbaijan,poland,visa required
1663,azerbaijan,mozambique,visa on arrival
1664,azerbaijan,argentina,visa required
1665,azerbaijan,syria,visa required
1666,azerbaijan,finland,visa required
1667,azerbaijan,austria,visa required
1668,azerbaijan,sweden,visa required
1669,azerbaijan,somalia,visa on arrival
1670,azerbaijan,tajikistan,visa not required
1671,azerbaijan,mauritius,visa on arrival
1672,azerbaijan,belarus,visa not required
1673,azerbaijan,chile,visa required
1674,azerbaijan,central african republic,visa required
1675,azerbaijan,tanzania,visa required
1676,azerbaijan,cameroon,visa required
1677,azerbaijan,nauru,visa required
1678,azerbaijan,mali,visa required
1679,azerbaijan,estonia,visa required
1680,azerbaijan,trinidad and tobago,visa required
1681,azerbaijan,malawi,evisa / visa on arrival
1682,azerbaijan,togo,visa on arrival
1683,azerbaijan,hungary,visa required
1684,azerbaijan,mexico,visa required
1685,azerbaijan,tuvalu,visa on arrival
1686,azerbaijan,egypt,visa required
1687,azerbaijan,slovakia,visa required
1688,azerbaijan,russia,visa not required
1689,azerbaijan,guinea,evisa
1690,azerbaijan,bahamas,visa not required
1691,azerbaijan,australia,visa required
1692,azerbaijan,uzbekistan,visa not required
1693,azerbaijan,peru,visa required
1694,azerbaijan,malta,visa required
1695,azerbaijan,angola,visa required
1696,azerbaijan,andorra,visa required
1697,azerbaijan,niger,visa required
1698,azerbaijan,belize,visa required
1699,azerbaijan,georgia,visa not required
1700,azerbaijan,papua new guinea,visa required
1701,azerbaijan,bangladesh,visa on arrival
1702,azerbaijan,portugal,visa required
1703,azerbaijan,south africa,visa required
1704,azerbaijan,colombia,visa not required
1705,azerbaijan,kuwait,visa required
1706,azerbaijan,venezuela,visa required
1707,azerbaijan,algeria,visa required
1708,azerbaijan,republic of the congo,visa required
1709,azerbaijan,jamaica,visa on arrival
1710,azerbaijan,tonga,visa required
1711,azerbaijan,kenya,e-visa
1712,azerbaijan,gabon,evisa
1713,azerbaijan,gambia,visa required
1714,azerbaijan,croatia,visa required
1715,azerbaijan,norway,visa required
1716,azerbaijan,sri lanka,evisa / visa on arrival
1717,azerbaijan,saint lucia,visa required
1718,azerbaijan,rwanda,evisa / visa on arrival
1719,azerbaijan,fiji,visa required
1720,azerbaijan,cambodia,evisa / visa on arrival
1721,azerbaijan,united arab emirates,visa required
1722,azerbaijan,bhutan,visa required
1723,azerbaijan,uganda,evisa / visa on arrival
1724,azerbaijan,vietnam,evisa
1725,azerbaijan,netherlands,visa required
1726,azerbaijan,eritrea,visa required
1727,azerbaijan,tunisia,visa required
1728,azerbaijan,guyana,visa required
1729,azerbaijan,turkmenistan,visa required
1730,azerbaijan,south sudan,electronic visa
1731,azerbaijan,iran,visa not required
1732,azerbaijan,kyrgyzstan,visa not required
1733,azerbaijan,canada,visa required
1734,azerbaijan,france,visa required
1735,azerbaijan,oman,visa required
1736,azerbaijan,mongolia,visa required
1737,azerbaijan,cuba,tourist card required
1738,azerbaijan,germany,visa required
1739,azerbaijan,palau,visa on arrival
1740,azerbaijan,iraq,visa required
1741,azerbaijan,india,e-visa
1742,azerbaijan,côte d'ivoire,evisa
1743,azerbaijan,slovenia,visa required
1744,azerbaijan,yemen,visa required
1745,azerbaijan,denmark,visa required
1746,azerbaijan,china,visa required
1747,azerbaijan,ukraine,visa not required
1748,azerbaijan,serbia,visa not required
1749,azerbaijan,marshall islands,visa on arrival
1750,azerbaijan,lithuania,visa required
1751,azerbaijan,botswana,visa required
1752,azerbaijan,monaco,visa required
1753,azerbaijan,saudi arabia,visa required
1754,azerbaijan,brunei,visa required
1755,azerbaijan,lesotho,evisa
1756,azerbaijan,barbados,visa not required
1757,azerbaijan,nepal,visa on arrival
1758,azerbaijan,malaysia,visa not required
1759,azerbaijan,guatemala,visa required
1760,azerbaijan,greece,visa required
1761,azerbaijan,solomon islands,visa required
1762,azerbaijan,zimbabwe,evisa / visa on arrival
1763,azerbaijan,afghanistan,visa required
1764,azerbaijan,maldives,visa on arrival
1765,azerbaijan,liberia,visa required
1766,azerbaijan,saint kitts and nevis,evisa
1767,azerbaijan,jordan,visa on arrival
1768,azerbaijan,bahrain,evisa
1769,azerbaijan,dominica,visa not required
1770,azerbaijan,liechtenstein,visa required
1771,azerbaijan,haiti,visa not required
1772,azerbaijan,new zealand,visa required
1773,azerbaijan,latvia,visa required
1774,azerbaijan,djibouti,evisa
1775,azerbaijan,grenada,visa required
1776,azerbaijan,democratic republic of the congo,visa required
1777,azerbaijan,singapore,evisa
1778,azerbaijan,nicaragua,visa on arrival
1779,azerbaijan,burkina faso,visa required
1780,azerbaijan,eswatini,visa required
1781,azerbaijan,zambia,evisa
1782,azerbaijan,samoa,entry permit on arrival
1783,azerbaijan,uruguay,visa required
1784,azerbaijan,montenegro,visa not required
1785,azerbaijan,equatorial guinea,visa required
1786,azerbaijan,bosnia and herzegovina,visa not required
1787,azerbaijan,ghana,visa required
1788,azerbaijan,moldova,visa not required
1789,azerbaijan,dominican republic,visa required
1790,azerbaijan,guinea-bissau,visa on arrival
1791,azerbaijan,paraguay,visa required
1792,azerbaijan,switzerland,visa required
1793,azerbaijan,honduras,visa required
1794,azerbaijan,libya,visa required
1795,azerbaijan,myanmar,visa required
1796,azerbaijan,belgium,visa required
1797,azerbaijan,kiribati,visa required
1798,azerbaijan,antigua and barbuda,visa not required
1799,azerbaijan,japan,visa required
1800,azerbaijan,bulgaria,visa required
1801,azerbaijan,bolivia,visa on arrival
1802,azerbaijan,thailand,visa required
1803,azerbaijan,cyprus,visa required
1804,azerbaijan,micronesia,visa not required
1805,azerbaijan,sierra leone,visa required
1806,azerbaijan,mauritania,visa on arrival
1807,azerbaijan,comoros,visa on arrival
1808,azerbaijan,burundi,visa required
1809,azerbaijan,indonesia,visa not required
1810,azerbaijan,brazil,visa required
1811,azerbaijan,qatar,visa not required
1812,azerbaijan,sudan,visa required
1813,azerbaijan,kazakhstan,visa not required
1814,azerbaijan,lebanon,visa on arrival
1815,azerbaijan,spain,visa required
1816,azerbaijan,suriname,evisa
1817,azerbaijan,senegal,visa required
1818,azerbaijan,namibia,visa not required
1819,azerbaijan,san marino,visa required
1820,azerbaijan,ireland,visa required
1821,azerbaijan,seychelles,visitor's permit on arrival
1822,azerbaijan,ethiopia,evisa
1823,azerbaijan,madagascar,evisa / visa on arrival
1824,azerbaijan,pakistan,electronic travel authorization
1825,azerbaijan,turkey,visa not required
1826,azerbaijan,romania,visa required
1827,russia,laos,visa not required
1828,russia,albania,visa not required
1829,russia,chad,visa required
1830,russia,benin,evisa / visa on arrival
1831,russia,iceland,visa required
1832,russia,vanuatu,visa not required
1833,russia,panama,visa not required
1834,russia,israel,visa not required
1835,russia,morocco,visa not required
1836,russia,united states,visa required
1837,russia,timor-leste,visa on arrival
1838,russia,costa rica,visa not required
1839,russia,italy,visa required
1840,russia,saint vincent and the grenadines,visa not required
1841,russia,nigeria,visa required
1842,russia,el salvador,visa not required
1843,russia,armenia,"410,302"
1844,russia,ecuador,visa not required
1845,russia,poland,visa required
1846,russia,mozambique,visa on arrival
1847,russia,argentina,visa not required
1848,russia,syria,visa required
1849,russia,finland,"3,629,121"
1850,russia,austria,visa required
1851,russia,sweden,"63,689"
1852,russia,somalia,visa on arrival
1853,russia,tajikistan,"212,062"
1854,russia,mauritius,visa not required
1855,russia,belarus,visa not required
1856,russia,chile,visa not required
1857,russia,central african republic,visa required
1858,russia,tanzania,evisa / visa on arrival
1859,russia,cameroon,visa required
1860,russia,nauru,visa not required
1861,russia,mali,visa required
1862,russia,estonia,"1,803,249"
1863,russia,trinidad and tobago,visa not required
1864,russia,malawi,evisa
1865,russia,togo,visa on arrival
1866,russia,hungary,visa required
1867,russia,mexico,electronic authorization
1868,russia,tuvalu,visa on arrival
1869,russia,egypt,evisa / visa on arrival
1870,russia,slovakia,visa required
1871,russia,guinea,evisa
1872,russia,bahamas,visa not required
1873,russia,uzbekistan,visa not required
1874,russia,peru,visa not required
1875,russia,malta,visa required
1876,russia,angola,evisa
1877,russia,andorra,visa not required
1878,russia,niger,visa required
1879,russia,belize,visa not required
1880,russia,georgia,visa not required
1881,russia,papua new guinea,e-visa
1882,russia,bangladesh,visa on arrival
1883,russia,portugal,visa required
1884,russia,south africa,visa not required
1885,russia,colombia,visa not required
1886,russia,kuwait,visa required
1887,russia,venezuela,visa not required
1888,russia,algeria,visa required
1889,russia,republic of the congo,visa required
1890,russia,jamaica,visa not required
1891,russia,tonga,visa on arrival
1892,russia,kenya,e-visa
1893,russia,gabon,evisa / visa on arrival
1894,russia,gambia,visa required
1895,russia,croatia,visa required
1896,russia,norway,"138,902"
1897,russia,sri lanka,evisa / visa on arrival
1898,russia,saint lucia,visa not required
1899,russia,rwanda,evisa / visa on arrival
1900,russia,fiji,visa not required
1901,russia,cambodia,evisa / visa on arrival
1902,russia,united arab emirates,visa not required
1903,russia,bhutan,visa required
1904,russia,uganda,evisa / visa on arrival
1905,russia,vietnam,visa not required
1906,russia,netherlands,visa required
1907,russia,eritrea,visa required
1908,russia,tunisia,visa not required
1909,russia,guyana,visa not required
1910,russia,turkmenistan,"27,490"
1911,russia,south sudan,evisa
1912,russia,iran,"24,336"
1913,russia,kyrgyzstan,visa not required
1914,russia,canada,visa required
1915,russia,france,visa required
1916,russia,oman,visa not required
1917,russia,mongolia,visa not required
1918,russia,cuba,visa not required
1919,russia,germany,visa required
1920,russia,palau,visa not required
1921,russia,iraq,"2,451"
1922,russia,india,e-visa
1923,russia,côte d'ivoire,evisa
1924,russia,slovenia,visa required
1925,russia,yemen,visa required
1926,russia,denmark,"41,002"
1927,russia,china,visa required
1928,russia,ukraine,visa required
1929,russia,serbia,visa not required
1930,russia,marshall islands,visa on arrival
1931,russia,lithuania,"742,333"
1932,russia,botswana,visa not required
1933,russia,monaco,visa required
1934,russia,saudi arabia,"7,745"
1935,russia,azerbaijan,visa not required
1936,russia,brunei,visa not required
1937,russia,lesotho,evisa
1938,russia,barbados,visa not required
1939,russia,nepal,visa on arrival
1940,russia,malaysia,visa not required
1941,russia,guatemala,visa not required
1942,russia,greece,visa required
1943,russia,solomon islands,visa required
1944,russia,zimbabwe,evisa / visa on arrival
1945,russia,afghanistan,"1,463"
1946,russia,maldives,visa not required
1947,russia,liberia,visa required
1948,russia,saint kitts and nevis,visa not required
1949,russia,jordan,visa on arrival
1950,russia,bahrain,"12,712"
1951,russia,dominica,visa not required
1952,russia,liechtenstein,visa required
1953,russia,haiti,visa not required
1954,russia,new zealand,visa required
1955,russia,latvia,"424,842"
1956,russia,djibouti,evisa
1957,russia,grenada,visa not required
1958,russia,democratic republic of the congo,visa required
1959,russia,singapore,evisa
1960,russia,nicaragua,visa not required
1961,russia,burkina faso,visa required
1962,russia,eswatini,visa not required
1963,russia,zambia,evisa / visa on arrival
1964,russia,samoa,visa not required
1965,russia,uruguay,visa not required
1966,russia,montenegro,visa not required
1967,russia,equatorial guinea,visa required
1968,russia,bosnia and herzegovina,visa not required
1969,russia,ghana,visa required
1970,russia,moldova,visa not required
1971,russia,dominican republic,visa not required
1972,russia,guinea-bissau,evisa / visa on arrival
1973,russia,paraguay,visa not required
1974,russia,switzerland,"251,142"
1975,russia,honduras,visa not required
1976,russia,libya,visa required
1977,russia,myanmar,evisa / free visa on arrival
1978,russia,belgium,visa required
1979,russia,kiribati,visa required
1980,russia,antigua and barbuda,visa not required
1981,russia,japan,visa required
1982,russia,bulgaria,visa required
1983,russia,bolivia,visa not required 
1984,russia,thailand,visa not required
1985,russia,cyprus,e-visa
1986,russia,micronesia,visa not required
1987,russia,sierra leone,visa on arrival
1988,russia,mauritania,visa on arrival
1989,russia,comoros,visa on arrival
1990,russia,burundi,visa required
1991,russia,indonesia,visa not required
1992,russia,brazil,visa not required
1993,russia,qatar,"87,595"
1994,russia,sudan,268
1995,russia,kazakhstan,visa not required
1996,russia,lebanon,visa on arrival
1997,russia,spain,visa required
1998,russia,suriname,visa not required
1999,russia,senegal,visa on arrival
2000,russia,namibia,visa not required
2001,russia,san marino,visa not required
2002,russia,ireland,visa required
2003,russia,seychelles,visa not required
2004,russia,ethiopia,evisa / visa on arrival
2005,russia,madagascar,evisa / visa on arrival
2006,russia,pakistan,online visa
2007,russia,turkey,visa not required
2008,russia,romania,visa required
2009,marshall islands,laos,evisa / visa on arrival
2010,marshall islands,albania,visa required
2011,marshall islands,chad,visa required
2012,marshall islands,benin,evisa / visa on arrival
2013,marshall islands,iceland,visa not required
2014,marshall islands,vanuatu,visa not required
2015,marshall islands,panama,visa not required
2016,marshall islands,israel,visa required
2017,marshall islands,morocco,visa required
2018,marshall islands,timor-leste,visa on arrival
2019,marshall islands,costa rica,visa not required
2020,marshall islands,italy,visa not required
2021,marshall islands,saint vincent and the grenadines,visa not required
2022,marshall islands,nigeria,visa required
2023,marshall islands,el salvador,visa not required
2024,marshall islands,armenia,visa on arrival
2025,marshall islands,ecuador,visa not required
2026,marshall islands,poland,visa not required
2027,marshall islands,mozambique,visa on arrival
2028,marshall islands,argentina,visa required
2029,marshall islands,syria,visa required
2030,marshall islands,finland,visa not required
2031,marshall islands,austria,visa not required
2032,marshall islands,sweden,visa not required
2033,marshall islands,somalia,visa on arrival
2034,marshall islands,tajikistan,visa required
2035,marshall islands,mauritius,visa on arrival
2036,marshall islands,belarus,visa required
2037,marshall islands,chile,visa required
2038,marshall islands,central african republic,visa required
2039,marshall islands,tanzania,evisa / visa on arrival
2040,marshall islands,cameroon,visa required
2041,marshall islands,nauru,free visa on arrival
2042,marshall islands,mali,visa required
2043,marshall islands,estonia,visa not required
2044,marshall islands,trinidad and tobago,visa required
2045,marshall islands,malawi,visa on arrival
2046,marshall islands,togo,visa on arrival
2047,marshall islands,hungary,visa not required
2048,marshall islands,mexico,visa not required
2049,marshall islands,tuvalu,visa on arrival
2050,marshall islands,egypt,visa on arrival
2051,marshall islands,slovakia,visa not required
2052,marshall islands,russia,visa required
2053,marshall islands,guinea,visa required
2054,marshall islands,bahamas,visa not required
2055,marshall islands,uzbekistan,evisa
2056,marshall islands,peru,visa not required
2057,marshall islands,malta,visa not required
2058,marshall islands,angola,visa required
2059,marshall islands,andorra,visa not required
2060,marshall islands,niger,visa required
2061,marshall islands,belize,visa not required
2062,marshall islands,georgia,evisa
2063,marshall islands,papua new guinea,evisa / free visa on arrival
2064,marshall islands,bangladesh,visa on arrival
2065,marshall islands,portugal,visa not required
2066,marshall islands,south africa,visa required
2067,marshall islands,colombia,visa not required
2068,marshall islands,kuwait,visa required
2069,marshall islands,venezuela,visa required
2070,marshall islands,algeria,visa required
2071,marshall islands,republic of the congo,visa required
2072,marshall islands,jamaica,visa required
2073,marshall islands,tonga,visa on arrival
2074,marshall islands,kenya,evisa
2075,marshall islands,gabon,visa required
2076,marshall islands,gambia,visa required
2077,marshall islands,croatia,visa not required
2078,marshall islands,norway,visa not required
2079,marshall islands,sri lanka,visa on arrival
2080,marshall islands,saint lucia,visa not required
2081,marshall islands,rwanda,evisa / visa on arrival
2082,marshall islands,fiji,visa not required
2083,marshall islands,cambodia,visa on arrival
2084,marshall islands,united arab emirates,visa required
2085,marshall islands,bhutan,visa required
2086,marshall islands,uganda,visa on arrival
2087,marshall islands,vietnam,evisa
2088,marshall islands,netherlands,visa not required
2089,marshall islands,eritrea,visa required
2090,marshall islands,tunisia,visa required
2091,marshall islands,guyana,visa required
2092,marshall islands,turkmenistan,visa required
2093,marshall islands,south sudan,electronic visa
2094,marshall islands,iran,visa on arrival
2095,marshall islands,kyrgyzstan,evisa
2096,marshall islands,canada,visa required
2097,marshall islands,france,visa not required
2098,marshall islands,oman,visa required
2099,marshall islands,mongolia,visa required
2100,marshall islands,cuba,tourist card required
2101,marshall islands,germany,visa not required
2102,marshall islands,palau,visa not required
2103,marshall islands,iraq,visa required
2104,marshall islands,india,e-visa
2105,marshall islands,côte d'ivoire,visa required
2106,marshall islands,slovenia,visa not required
2107,marshall islands,yemen,visa required
2108,marshall islands,denmark,visa not required
2109,marshall islands,china,visa required
2110,marshall islands,ukraine,visa required
2111,marshall islands,serbia,visa required
2112,marshall islands,lithuania,visa not required
2113,marshall islands,botswana,visa required
2114,marshall islands,monaco,visa not required
2115,marshall islands,saudi arabia,visa required
2116,marshall islands,azerbaijan,visa required
2117,marshall islands,brunei,visa required
2118,marshall islands,lesotho,evisa
2119,marshall islands,barbados,visa required
2120,marshall islands,nepal,visa on arrival
2121,marshall islands,malaysia,visa not required
2122,marshall islands,guatemala,visa not required
2123,marshall islands,greece,visa not required
2124,marshall islands,solomon islands,visa on arrival
2125,marshall islands,zimbabwe,visa on arrival
2126,marshall islands,afghanistan,visa required
2127,marshall islands,maldives,visa on arrival
2128,marshall islands,liberia,visa required
2129,marshall islands,saint kitts and nevis,electronic visa
2130,marshall islands,jordan,visa on arrival
2131,marshall islands,bahrain,visa required
2132,marshall islands,dominica,visa not required
2133,marshall islands,liechtenstein,visa not required
2134,marshall islands,haiti,visa not required
2135,marshall islands,new zealand,visa required
2136,marshall islands,latvia,visa not required
2137,marshall islands,djibouti,evisa
2138,marshall islands,grenada,visa required
2139,marshall islands,democratic republic of the congo,visa required
2140,marshall islands,singapore,visa not required
2141,marshall islands,nicaragua,visa not required
2142,marshall islands,burkina faso,visa required
2143,marshall islands,eswatini,visa required
2144,marshall islands,zambia,visa not required
2145,marshall islands,samoa,visa not required
2146,marshall islands,uruguay,visa required
2147,marshall islands,montenegro,visa required
2148,marshall islands,equatorial guinea,visa required
2149,marshall islands,bosnia and herzegovina,visa not required
2150,marshall islands,ghana,visa required
2151,marshall islands,moldova,visa not required
2152,marshall islands,dominican republic,visa not required
2153,marshall islands,guinea-bissau,visa on arrival
2154,marshall islands,paraguay,visa required
2155,marshall islands,switzerland,visa not required
2156,marshall islands,honduras,visa not required
2157,marshall islands,libya,visa required
2158,marshall islands,myanmar,evisa
2159,marshall islands,belgium,visa not required
2160,marshall islands,kiribati,visa not required
2161,marshall islands,antigua and barbuda,visa not required
2162,marshall islands,japan,visa required
2163,marshall islands,bulgaria,visa not required
2164,marshall islands,bolivia,visa on arrival
2165,marshall islands,thailand,visa required
2166,marshall islands,cyprus,visa not required
2167,marshall islands,micronesia,visa not required
2168,marshall islands,sierra leone,visa required
2169,marshall islands,mauritania,visa on arrival
2170,marshall islands,comoros,visa on arrival
2171,marshall islands,burundi,visa required
2172,marshall islands,indonesia,visa not required
2173,marshall islands,brazil,visa required
2174,marshall islands,qatar,evisa
2175,marshall islands,sudan,visa required
2176,marshall islands,kazakhstan,visa required
2177,marshall islands,lebanon,visa required
2178,marshall islands,spain,visa not required
2179,marshall islands,suriname,evisa
2180,marshall islands,senegal,visa on arrival
2181,marshall islands,namibia,visa required
2182,marshall islands,san marino,visa not required
2183,marshall islands,ireland,visa required
2184,marshall islands,seychelles,visitor's permit on arrival
2185,marshall islands,ethiopia,evisa
2186,marshall islands,madagascar,evisa / visa on arrival
2187,marshall islands,pakistan,online visa
2188,marshall islands,turkey,visa required
2189,marshall islands,romania,visa not required
2190,haiti,laos,evisa / visa on arrival
2191,haiti,albania,visa required
2192,haiti,chad,visa required
2193,haiti,benin,visa not required
2194,haiti,iceland,visa required
2195,haiti,vanuatu,visa required
2196,haiti,panama,visa required
2197,haiti,israel,visa not required
2198,haiti,morocco,visa required
2199,haiti,united states,visa required
2200,haiti,timor-leste,visa on arrival
2201,haiti,costa rica,visa required
2202,haiti,italy,visa required
2203,haiti,saint vincent and the grenadines,visa required
2204,haiti,nigeria,visa required
2205,haiti,el salvador,visa required
2206,haiti,armenia,evisa / visa on arrival
2207,haiti,ecuador,visa required
2208,haiti,poland,visa required
2209,haiti,mozambique,visa on arrival
2210,haiti,argentina,visa required
2211,haiti,syria,visa required
2212,haiti,finland,visa required
2213,haiti,austria,visa required
2214,haiti,sweden,visa required
2215,haiti,somalia,visa on arrival
2216,haiti,tajikistan,visa required
2217,haiti,mauritius,visa on arrival
2218,haiti,belarus,visa required
2219,haiti,chile,visa required
2220,haiti,central african republic,visa required
2221,haiti,tanzania,evisa / visa on arrival
2222,haiti,cameroon,visa required
2223,haiti,nauru,visa required
2224,haiti,mali,visa required
2225,haiti,estonia,visa required
2226,haiti,trinidad and tobago,visa required
2227,haiti,malawi,visa required
2228,haiti,togo,visa on arrival
2229,haiti,hungary,visa required
2230,haiti,mexico,visa required
2231,haiti,tuvalu,visa on arrival
2232,haiti,egypt,visa on arrival
2233,haiti,slovakia,visa required
2234,haiti,russia,visa required
2235,haiti,guinea,visa required
2236,haiti,bahamas,visa required
2237,haiti,australia,visa required
2238,haiti,uzbekistan,visa required
2239,haiti,peru,visa required
2240,haiti,malta,visa required
2241,haiti,angola,visa required
2242,haiti,andorra,visa required
2243,haiti,niger,visa required
2244,haiti,belize,visa required
2245,haiti,georgia,evisa
2246,haiti,papua new guinea,visa required
2247,haiti,bangladesh,visa on arrival
2248,haiti,portugal,visa required
2249,haiti,south africa,visa required
2250,haiti,colombia,visa required
2251,haiti,kuwait,visa required
2252,haiti,venezuela,visa required
2253,haiti,algeria,visa required
2254,haiti,republic of the congo,visa required
2255,haiti,jamaica,visa required
2256,haiti,tonga,visa required
2257,haiti,kenya,evisa / visa on arrival
2258,haiti,gabon,evisa
2259,haiti,gambia,visa not required
2260,haiti,croatia,visa required
2261,haiti,norway,visa required
2262,haiti,sri lanka,evisa / visa on arrival
2263,haiti,saint lucia,visa required
2264,haiti,rwanda,visa not required
2265,haiti,fiji,visa required
2266,haiti,cambodia,evisa / visa on arrival
2267,haiti,united arab emirates,visa required
2268,haiti,bhutan,visa required
2269,haiti,uganda,evisa / visa on arrival
2270,haiti,vietnam,visa required
2271,haiti,netherlands,visa required
2272,haiti,eritrea,visa required
2273,haiti,tunisia,visa required
2274,haiti,guyana,visa required
2275,haiti,turkmenistan,visa required
2276,haiti,south sudan,electronic visa
2277,haiti,iran,visa on arrival
2278,haiti,kyrgyzstan,evisa
2279,haiti,canada,visa required
2280,haiti,france,visa required
2281,haiti,oman,visa required
2282,haiti,mongolia,visa required
2283,haiti,cuba,tourist card required
2284,haiti,germany,visa required
2285,haiti,palau,free visa on arrival
2286,haiti,iraq,visa required
2287,haiti,india,e-visa
2288,haiti,côte d'ivoire,visa required
2289,haiti,slovenia,visa required
2290,haiti,yemen,visa required
2291,haiti,denmark,visa required
2292,haiti,china,visa required
2293,haiti,ukraine,evisa
2294,haiti,serbia,visa required
2295,haiti,marshall islands,visa required
2296,haiti,lithuania,visa required
2297,haiti,botswana,visa required
2298,haiti,monaco,visa required
2299,haiti,saudi arabia,visa required
2300,haiti,azerbaijan,visa required
2301,haiti,brunei,visa required
2302,haiti,lesotho,evisa
2303,haiti,barbados,visa required
2304,haiti,nepal,visa on arrival
2305,haiti,malaysia,visa not required
2306,haiti,guatemala,visa required
2307,haiti,greece,visa required
2308,haiti,solomon islands,visa required
2309,haiti,zimbabwe,evisa
2310,haiti,afghanistan,visa required
2311,haiti,maldives,free visa on arrival
2312,haiti,liberia,visa required
2313,haiti,saint kitts and nevis,visa required
2314,haiti,jordan,visa on arrival
2315,haiti,bahrain,visa required
2316,haiti,dominica,visa required
2317,haiti,liechtenstein,visa required
2318,haiti,new zealand,visa required
2319,haiti,latvia,visa required
2320,haiti,djibouti,evisa
2321,haiti,grenada,visa required
2322,haiti,democratic republic of the congo,visa required
2323,haiti,singapore,visa not required
2324,haiti,nicaragua,visa required
2325,haiti,burkina faso,visa required
2326,haiti,eswatini,visa required
2327,haiti,zambia,evisa / visa on arrival
2328,haiti,samoa,visa not required
2329,haiti,uruguay,visa required
2330,haiti,montenegro,visa required
2331,haiti,equatorial guinea,visa required
2332,haiti,bosnia and herzegovina,visa required
2333,haiti,ghana,visa required
2334,haiti,moldova,visa required
2335,haiti,dominican republic,visa required
2336,haiti,guinea-bissau,evisa / visa on arrival
2337,haiti,paraguay,visa required
2338,haiti,switzerland,visa required
2339,haiti,honduras,visa required
2340,haiti,libya,visa required
2341,haiti,myanmar,visa required
2342,haiti,belgium,visa required
2343,haiti,kiribati,visa required
2344,haiti,antigua and barbuda,visa required
2345,haiti,japan,visa required
2346,haiti,bulgaria,visa required
2347,haiti,bolivia,visa on arrival
2348,haiti,thailand,visa required
2349,haiti,cyprus,visa required
2350,haiti,micronesia,visa not required
2351,haiti,sierra leone,visa required
2352,haiti,mauritania,visa on arrival
2353,haiti,comoros,visa on arrival
2354,haiti,burundi,visa required
2355,haiti,indonesia,visa not required
2356,haiti,brazil,visa required
2357,haiti,qatar,evisa
2358,haiti,sudan,visa required
